,text,created_date,latitude,longitude,retweet,polarity,pol_value,followers,location
67,"RT @cskkanu: @RenukaJain6 @narendramodi Change your #BjpManifesto and include #MensCommission and #Scrap498A 

We will give you lakhs of vo…",2019-04-24 15:49:58,,,95,Neutral,0.0,118,
68,"RT @SaveThePeople11: Why DMK is Anti-Hindu . Watch this video stalin talking bad about hindu wedding.

#DMK #DMKAlliance #DMKFails #DMK4TN…",2019-04-24 15:45:44,,,465,Highly Negative,-0.7,40,"Hosur, India"
69,RT @m4news2: Support to PM Modi from Houston . Enthusiasm  is very high for the modi government. I am very sure that we are going  to win a…,2019-04-24 15:38:44,,,1502,Highly Positive,0.55,290,
70,RT @m4news2: Support to PM Modi from Houston . Enthusiasm  is very high for the modi government. I am very sure that we are going  to win a…,2019-04-24 15:38:27,,,1251,Highly Positive,0.55,372,The Netherlands
71,"RT @HinaRabiaa: Please vote to BJP because they have the power to convert Muslims into hindus and yes, they are better in planning than All…",2019-04-24 15:21:50,,,12883,Highly Positive,0.5,240,"Sialkot, Pakistan"
72,"RT @srinidhiacharya: Which one makes sense?

RT: Lotus
Like: Hand

#BJPSankalpPatr2019
#BJPManifesto https://t.co/5YREeH0iVW",2019-04-24 15:06:23,,,154,Neutral,0.0,0,
73,"Please vote to BJP because they have the power to convert Muslims into hindus and yes, they are better in planning… https://t.co/P7LbGKvy4f",2019-04-24 14:37:37,,,1334,Highly Positive,0.5,115,"Sargodha, Pakistan"
74,"RT @pakalert00: Pak Headlines | Watch Top News of Today
https://t.co/SQ20gtnHnt
#PrimeMinisterImranKhan #بلاول_صاحبہ #نظام_بدلےگا_سراج_الحق…",2019-04-24 14:33:53,,,1818,Highly Positive,0.5,845,
75,"Pak Headlines | Watch Top News of Today
https://t.co/SQ20gtnHnt
#PrimeMinisterImranKhan #بلاول_صاحبہ… https://t.co/2Ea8X09QI2",2019-04-24 14:31:42,,,9,Highly Positive,0.5,187,"Karachi, Pakistan"
76,"No message
No calls
one was in ego
other was in hope

#modiwon

#RCBlost

#AyegaTohModiHi
#NaMoForNewIndia #NarendraModi 
#BJPManifesto",2019-04-24 14:26:32,,,410,Negative,-0.12,6,Hindustan
77,"#BJPManifesto

Voter ID much more powerful than IED: PM Narendra Modi
https://t.co/fMHzgHIQEY via NaMo App https://t.co/KNUJoS872e",2019-04-24 14:04:22,,,7293,Positive,0.4,315,
78,@GetNewsd #BJPManifesto #BJP obsessed with every honorable #Indian why else false accusations..🙈😆,2019-04-24 13:57:17,,,6129,Negative,-0.45,477,"New Delhi, India"
79,"RT @dhruv_rathee: One promise has remained common in all the BJP Manifestos since the past 23 years -

1996: Ram Mandir
1998: Ram Mandir
20…",2019-04-24 13:16:31,,,9372,Negative,-0.28,42,"Karnataka, India"
80,"RT @thecaravanindia: #ModiMeter | In 2014, the BJP promised to support and aid voluntary organisations working for the care of the disabled…",2019-04-24 12:37:52,,,884,Neutral,0.0,52,"Ahmadabad City, India"
81,"RT @advmonikaarora: Manifesto of @INCIndia pledges to decrease powers of Army, increase powers of #TukdeTukdeGang &amp; aim at appeasement of M…",2019-04-24 12:28:13,,,7029,Neutral,0.0,1914,"New Delhi, India"
82,"RT @thecaravanindia: #ModiMeter | In 2014, the BJP promised to support and aid voluntary organisations working for the care of the disabled…",2019-04-24 11:39:36,,,7616,Neutral,0.0,340,New Delhi 
