,text,created_date,latitude,longitude,retweet,polarity,pol_value
45,RT @bombaywallah: Mumbai Elections: Will Sena-BJP Hold Ground Against a Resurgent Opposition? https://t.co/09vtNRPzSG via @thewire_in,2019-04-28 01:00:32,,,33,Neutral,0.0
46,RT @Sk38skSushil: @YasheshYadav @Rao_InderjitS @TOIGurgaon @toi_RaOj @BJP4India @OfficeOfNG @nitin_gadkari @NHAIINDIA @NHAISocialmedia @Gur…,2019-04-28 01:00:24,,,10,Neutral,0.0
47,"‘Ballad of Pehlu Khan’: Aamir Aziz’s New Song Captures The Hate, Violence, Injustice of Mob Lynching 

‘Where only… https://t.co/x7uuSpWtx4",2019-04-28 01:00:23,,,0,Negative,-0.33
48,RT @AashishKhetan: Karkare’s daughter breaks silence: ‘Don’t want to dignify her (Pragya’s) remark … my father taught us terror has no reli…,2019-04-28 01:00:21,,,29,Neutral,0.0
49,Bjp should be careful congress is clawing back I get a sense we May be heading for a situation where both could hav… https://t.co/ak7GVoCDFf,2019-04-28 01:00:19,,,0,Negative,-0.05
50,"RT @suchitrak: Dear Voters in #MumbaiNorthwest. 
Gajanan Kirtikar is the #BJP /Shiv Sena candidate with the bow &amp; arrow symbol while Sanjay…",2019-04-28 01:00:16,,,4267,Neutral,0.0
51,"RT @kunalkamra88: Pick the most successful scheme by the BJP govt in the past term : -

Swach Bharat. Skill India. Make in India. Deen Daya…",2019-04-28 01:00:16,,,894,Positive,0.33
52,"RT @narendramodi: Yesterday began with programmes in the cultural nerve centre of India, Kashi. I addressed BJP workers and filed my nomina…",2019-04-28 01:00:12,,,3969,Positive,0.1
53,"RT @India_Policy: Where @AtishiAAP Marlena appeals people to vote for even goons, if it helps to defeat BJP. All their new politics is redu…",2019-04-28 01:00:02,,,414,Positive,0.14
54,"RT India_Policy: Where AtishiAAP Marlena appeals people to vote for even goons, if it helps to defeat BJP. All thei… https://t.co/aO3E8T9vbJ",2019-04-28 01:00:00,,,0,Neutral,0.0
55,"RT @dhruv_rathee: BJP leaders lie so openly and shamelessly that other people just get mind blown with their fake statements 

Look at the…",2019-04-28 01:00:00,,,3656,Negative,-0.21
56,"‘BJP greatest danger for India like 440 volts’ : @MamataOfficial 

https://t.co/FSJs47282r https://t.co/VDSqw892Ph",2019-04-28 01:00:00,,,1,Highly Positive,1.0
57,@Puja_Bahri @SalmanSoz @ajaymaken BJP is anti govt employees,2019-04-28 00:59:52,,,0,Neutral,0.0
